policy_id,issue_age,duration_years,account_value,guarantee_base,product_type,equity_allocation,guarantee_moneyness
31,65,7,50000.0,48040.36,FIA_UNCAPPED,0.489,1.041
32,57,14,50000.0,46626.57,FIA_UNCAPPED,0.246,1.072
33,51,12,145762.76,140965.34,VA_GMWB,0.519,1.034
34,46,2,51584.6,54300.14,FIA_CAPPED,0.821,0.95
35,71,2,60632.9,51806.35,FIA_CAPPED,0.819,1.17
36,59,6,97199.08,82145.54,VA_GMAB,0.801,1.183
37,63,10,81034.3,82224.67,VA_GMWB,0.696,0.986
38,53,14,77034.94,78354.19,FIA_UNCAPPED,0.962,0.983
39,46,1,60147.44,61768.97,VA_GMWB,0.693,0.974
40,51,10,167955.68,176692.51,VA_GMAB,0.271,0.951
41,49,8,62378.6,62722.97,FIA_UNCAPPED,0.983,0.995
42,51,8,50000.0,47773.34,FIA_UNCAPPED,0.557,1.047
43,49,12,50000.0,53703.41,VA_GMAB,0.588,0.931
44,62,1,70804.27,73315.1,VA_GMAB,0.932,0.966
45,48,7,80533.77,92505.43,VA_GMWB,0.758,0.871
46,62,12,50000.0,60896.4,VA_GMWB,0.964,0.821
47,62,9,65865.62,75897.35,VA_GMAB,0.2,0.868
48,71,1,53130.68,55126.04,VA_GMAB,0.642,0.964
49,59,7,50000.0,46312.01,VA_GMWB,0.805,1.08
50,48,8,50000.0,58596.98,FIA_UNCAPPED,0.703,0.853
51,54,12,181347.64,176531.69,FIA_CAPPED,0.676,1.027
52,59,2,116868.07,105634.01,FIA_UNCAPPED,0.829,1.106
53,54,14,50000.0,42179.89,VA_GMAB,0.659,1.185
54,53,7,50000.0,53424.55,FIA_CAPPED,0.778,0.936
55,52,9,82363.55,81659.01,FIA_CAPPED,0.621,1.009
56,59,6,104192.18,108114.74,VA_GMAB,0.566,0.964
57,72,3,70631.01,75661.55,VA_GMWB,0.907,0.934
58,73,9,57722.42,56747.07,FIA_UNCAPPED,0.782,1.017
59,66,11,50000.0,51085.86,FIA_CAPPED,0.824,0.979
60,72,5,53759.49,64864.56,VA_GMWB,0.998,0.829
61,74,5,131267.9,131059.12,FIA_CAPPED,0.877,1.002
62,67,12,67388.4,71121.39,VA_GMAB,0.781,0.948
63,70,10,61051.01,50835.94,VA_GMAB,0.908,1.201
64,68,7,146051.69,156156.69,FIA_UNCAPPED,0.532,0.935
65,58,3,116906.36,135382.61,VA_GMAB,0.397,0.864
66,53,2,50000.0,54934.93,VA_GMAB,0.795,0.91
67,73,4,61583.36,70407.14,VA_GMAB,0.966,0.875
68,60,14,50858.14,49036.61,VA_GMAB,0.497,1.037
69,48,3,100057.16,84943.82,VA_GMAB,0.399,1.178
70,69,9,50000.0,57076.75,VA_GMAB,0.643,0.876
71,46,8,72395.25,65916.59,FIA_CAPPED,0.603,1.098
72,67,3,50000.0,52242.47,VA_GMWB,0.409,0.957
73,53,14,59527.78,74474.79,FIA_CAPPED,0.703,0.799
74,62,6,75870.76,79605.88,FIA_UNCAPPED,0.885,0.953
75,63,5,50831.98,61310.86,FIA_CAPPED,0.895,0.829
76,70,9,63369.16,50695.33,VA_GMWB,0.527,1.25
77,73,13,101414.22,106410.41,VA_GMAB,0.725,0.953
78,70,14,65250.88,74107.35,VA_GMAB,0.448,0.88
79,58,13,50000.0,66641.41,FIA_UNCAPPED,0.446,0.75
80,56,7,50000.0,54744.48,FIA_CAPPED,0.737,0.913
81,59,12,50000.0,46390.42,FIA_CAPPED,0.726,1.078
82,58,5,88380.41,86265.57,FIA_CAPPED,0.535,1.025
83,55,5,53228.42,61699.84,VA_GMWB,0.33,0.863
84,54,12,50000.0,51593.27,VA_GMAB,0.581,0.969
85,55,3,57378.39,63417.08,VA_GMWB,0.824,0.905
86,69,7,75055.51,78116.31,FIA_UNCAPPED,0.531,0.961
87,54,14,50000.0,44311.8,FIA_CAPPED,0.28,1.128
88,59,13,69399.8,77444.98,VA_GMWB,0.615,0.896
89,50,6,104784.34,128579.21,VA_GMWB,0.428,0.815
90,61,10,109994.42,131707.63,FIA_CAPPED,0.55,0.835
91,73,11,73529.93,73148.53,VA_GMAB,0.289,1.005
92,59,10,77246.02,73731.77,VA_GMAB,0.542,1.048
93,57,5,50000.0,45532.75,FIA_CAPPED,0.627,1.098
94,52,9,77186.5,74043.55,FIA_UNCAPPED,0.553,1.042
95,53,3,96434.27,93207.14,VA_GMAB,0.803,1.035
96,74,8,50000.0,61471.09,FIA_CAPPED,0.386,0.813
97,49,1,89240.11,74932.57,VA_GMWB,0.731,1.191
98,61,1,110980.44,131267.2,FIA_CAPPED,0.651,0.845
99,58,14,50000.0,44623.19,VA_GMAB,0.64,1.12
100,74,9,118444.39,113720.94,VA_GMAB,0.827,1.042
101,58,13,71537.94,80402.37,FIA_UNCAPPED,0.462,0.89
102,51,10,73046.44,92015.68,VA_GMAB,0.262,0.794
103,59,9,52371.72,49918.24,VA_GMWB,0.512,1.049
104,72,8,91756.79,76685.53,FIA_UNCAPPED,0.277,1.197
105,52,5,57300.56,70373.08,VA_GMWB,0.403,0.814
106,54,8,51660.37,41692.0,FIA_UNCAPPED,0.622,1.239
107,64,9,79327.0,82182.82,VA_GMAB,0.424,0.965
108,54,6,50000.0,56956.21,FIA_CAPPED,0.649,0.878
109,45,7,56213.89,44971.11,FIA_CAPPED,0.366,1.25
110,66,11,50000.0,40000.0,VA_GMWB,0.781,1.25
111,64,1,50000.0,49298.01,VA_GMAB,0.986,1.014
112,67,5,104861.96,120298.6,VA_GMAB,0.847,0.872
113,70,6,50000.0,63343.23,FIA_UNCAPPED,0.996,0.789
114,74,3,100853.73,87009.86,FIA_CAPPED,0.751,1.159
115,46,9,69191.78,77364.98,FIA_CAPPED,0.608,0.894
116,73,6,50000.0,61498.87,VA_GMAB,0.545,0.813
117,67,12,50000.0,40000.0,VA_GMWB,0.621,1.25
118,72,6,108813.83,131989.19,FIA_CAPPED,0.576,0.824
119,55,2,87651.12,90532.06,FIA_UNCAPPED,0.306,0.968
120,64,12,78500.52,90086.77,VA_GMWB,0.535,0.871
121,74,10,86170.65,72932.48,VA_GMWB,0.556,1.182
122,56,14,90471.81,76353.55,VA_GMAB,0.932,1.185
123,73,1,91514.37,88551.71,VA_GMWB,0.825,1.033
124,49,7,68307.54,60355.49,FIA_CAPPED,0.62,1.132
125,53,11,50000.0,57713.3,FIA_UNCAPPED,0.801,0.866
126,56,13,50000.0,45771.22,FIA_UNCAPPED,0.373,1.092
127,73,13,117957.87,140958.56,VA_GMAB,0.564,0.837
128,54,7,72932.72,74821.12,VA_GMAB,0.52,0.975
129,64,13,80477.12,84628.67,VA_GMAB,0.873,0.951
130,63,7,64746.16,77686.48,FIA_CAPPED,0.841,0.833
131,51,3,70300.5,67170.06,VA_GMAB,0.41,1.047
132,61,1,80444.77,67543.14,VA_GMAB,0.396,1.191
133,61,11,50000.0,66512.0,FIA_CAPPED,0.629,0.752
134,48,7,77475.6,84542.7,VA_GMWB,0.268,0.916
135,53,14,50000.0,48966.61,VA_GMAB,0.536,1.021
136,59,11,50000.0,53652.66,VA_GMAB,0.494,0.932
137,65,2,50000.0,59643.93,VA_GMAB,0.404,0.838
138,70,9,88626.2,92462.28,FIA_CAPPED,0.652,0.959
139,64,12,66377.62,60566.59,VA_GMWB,0.259,1.096
140,64,13,50512.19,57131.53,FIA_CAPPED,0.864,0.884
141,49,11,50000.0,54664.69,VA_GMAB,0.51,0.915
142,46,14,99869.97,108652.87,VA_GMWB,0.365,0.919
143,72,10,50000.0,49796.65,VA_GMWB,0.433,1.004
144,47,2,62575.34,60733.32,FIA_UNCAPPED,0.553,1.03
145,74,13,92680.34,98631.11,FIA_CAPPED,0.207,0.94
146,50,9,109184.31,125283.33,FIA_UNCAPPED,0.936,0.871
147,59,10,54719.05,64005.97,VA_GMWB,0.492,0.855
148,69,9,67087.34,70732.02,VA_GMWB,0.715,0.948
149,56,1,50000.0,52624.88,FIA_UNCAPPED,0.84,0.95
150,74,9,55364.66,47724.74,VA_GMWB,0.845,1.16
151,47,5,54893.52,69683.28,FIA_CAPPED,0.423,0.788
152,57,6,50152.41,48970.71,VA_GMWB,0.305,1.024
153,63,1,50000.0,51380.44,FIA_UNCAPPED,0.896,0.973
154,74,11,50000.0,50946.89,FIA_UNCAPPED,0.364,0.981
155,61,13,50000.0,69045.43,VA_GMWB,0.231,0.724
156,70,8,50000.0,40514.24,VA_GMWB,0.319,1.234
157,48,11,109422.29,134801.13,FIA_UNCAPPED,0.31,0.812
158,49,14,103372.15,128544.16,VA_GMWB,0.202,0.804
159,53,2,50000.0,48674.98,FIA_UNCAPPED,0.66,1.027
160,67,6,50000.0,48886.78,VA_GMWB,0.237,1.023
161,51,12,94174.2,81096.54,VA_GMAB,0.814,1.161
162,63,14,63024.98,50419.99,VA_GMAB,0.874,1.25
163,69,14,112240.22,125864.89,FIA_CAPPED,0.24,0.892
164,61,8,56657.27,49885.4,VA_GMWB,0.26,1.136
165,71,12,50000.0,41426.07,VA_GMWB,0.721,1.207
166,64,12,56095.32,58766.29,FIA_UNCAPPED,0.577,0.955
167,46,11,129174.97,143552.12,VA_GMAB,0.661,0.9
168,74,7,50000.0,48374.68,VA_GMWB,0.484,1.034
169,66,5,256869.15,266589.22,VA_GMWB,0.617,0.964
170,50,14,58130.61,62886.24,FIA_UNCAPPED,0.708,0.924
171,68,5,50000.0,48622.16,VA_GMAB,0.326,1.028
172,73,11,67327.5,53862.0,VA_GMAB,0.627,1.25
173,68,13,77952.21,90044.99,VA_GMWB,0.598,0.866
174,55,11,50000.0,59940.53,VA_GMAB,0.259,0.834
175,72,7,50000.0,60161.61,VA_GMAB,0.64,0.831
176,68,10,50000.0,53464.14,VA_GMWB,0.396,0.935
177,62,3,50000.0,40000.0,VA_GMWB,0.561,1.25
178,53,7,63505.33,76771.7,VA_GMAB,0.684,0.827
179,50,6,50000.0,55660.78,FIA_CAPPED,0.269,0.898
180,52,2,50000.0,50205.85,FIA_CAPPED,0.42,0.996
181,49,1,50000.0,47022.89,VA_GMAB,0.598,1.063
182,46,3,56126.38,62670.28,VA_GMWB,0.933,0.896
183,63,14,50000.0,43618.83,FIA_UNCAPPED,0.304,1.146
184,65,10,50942.89,46487.74,VA_GMAB,0.823,1.096
185,56,3,53534.81,49993.86,VA_GMAB,0.403,1.071
186,55,1,76783.21,62720.85,FIA_CAPPED,0.532,1.224
187,47,3,58658.39,69484.99,VA_GMAB,0.652,0.844
188,57,4,50000.0,43195.81,FIA_UNCAPPED,0.857,1.158
189,59,6,58007.19,67576.0,VA_GMAB,0.424,0.858
190,74,9,54365.32,60324.13,VA_GMAB,0.404,0.901
191,45,9,54476.54,55737.68,FIA_CAPPED,0.716,0.977
192,54,2,76472.63,94763.95,FIA_CAPPED,0.574,0.807
193,72,10,50000.0,55605.6,FIA_UNCAPPED,0.331,0.899
194,69,2,50000.0,49786.38,VA_GMAB,0.554,1.004
195,61,4,51594.37,61668.99,FIA_UNCAPPED,0.813,0.837
196,61,9,50000.0,49364.97,VA_GMWB,0.76,1.013
197,59,12,50000.0,48746.11,VA_GMAB,0.503,1.026
198,48,11,50000.0,55084.04,VA_GMWB,0.984,0.908
199,57,5,53068.79,77149.52,VA_GMWB,0.862,0.688
200,52,11,104631.39,119132.14,VA_GMAB,0.932,0.878
201,45,8,56507.05,58118.98,FIA_UNCAPPED,0.895,0.972
202,48,11,50000.0,62495.52,VA_GMAB,0.756,0.8
203,49,14,67579.46,85580.04,FIA_CAPPED,0.902,0.79
204,52,2,50000.0,65451.41,FIA_UNCAPPED,0.579,0.764
205,71,12,58092.71,46474.16,FIA_UNCAPPED,0.318,1.25
206,71,1,142329.22,170958.67,FIA_UNCAPPED,0.747,0.833
207,64,3,50000.0,41206.61,VA_GMAB,0.712,1.213
208,69,10,50000.0,66675.85,VA_GMAB,0.679,0.75
209,59,5,55236.75,49027.83,FIA_UNCAPPED,0.272,1.127
210,62,10,50000.0,55068.22,VA_GMAB,0.701,0.908
211,47,3,55211.21,59629.29,VA_GMAB,0.601,0.926
212,53,3,66922.06,74448.92,VA_GMAB,0.649,0.899
213,54,10,50000.0,44092.38,VA_GMWB,0.867,1.134
214,64,5,173255.97,201237.67,FIA_CAPPED,0.249,0.861
215,56,2,101340.69,98121.19,FIA_CAPPED,0.885,1.033
216,64,2,57477.6,48942.6,FIA_CAPPED,0.302,1.174
217,71,13,50000.0,49776.05,FIA_CAPPED,0.345,1.004
218,63,1,50000.0,46790.59,VA_GMWB,0.821,1.069
219,64,3,50000.0,42695.22,VA_GMAB,0.439,1.171
220,45,8,50000.0,51949.82,FIA_CAPPED,0.953,0.962
221,51,8,100455.86,107357.8,FIA_CAPPED,0.441,0.936
222,53,7,61461.86,56262.22,FIA_UNCAPPED,0.861,1.092
223,51,7,172511.89,204567.46,FIA_CAPPED,0.959,0.843
224,58,4,84244.41,76642.71,FIA_CAPPED,0.519,1.099
225,61,10,70564.01,65808.11,VA_GMAB,0.237,1.072
226,66,7,93589.83,106458.47,VA_GMAB,0.501,0.879
227,54,13,50000.0,51467.13,FIA_CAPPED,0.24,0.971
228,61,7,52651.85,58701.92,FIA_UNCAPPED,0.786,0.897
229,64,6,106824.57,85459.66,VA_GMAB,0.702,1.25
230,55,8,70927.5,79391.24,VA_GMAB,0.73,0.893
231,63,11,50000.0,59435.62,VA_GMAB,0.817,0.841
232,69,14,50000.0,52081.87,VA_GMWB,0.817,0.96
233,53,3,50000.0,55710.87,VA_GMAB,0.942,0.897
234,58,13,50000.0,66363.12,VA_GMAB,0.913,0.753
235,65,7,107959.77,93828.53,VA_GMAB,0.913,1.151
236,60,13,50000.0,46931.64,VA_GMWB,0.947,1.065
237,50,2,89115.58,90839.35,FIA_UNCAPPED,0.719,0.981
238,65,14,86755.62,91636.59,FIA_UNCAPPED,0.856,0.947
239,54,13,50000.0,60022.46,FIA_UNCAPPED,0.374,0.833
240,52,7,50000.0,54843.26,VA_GMAB,0.376,0.912
241,66,13,52099.05,50570.22,VA_GMWB,0.528,1.03
242,61,10,50000.0,48289.35,FIA_UNCAPPED,0.809,1.035
243,47,8,72905.32,99847.25,VA_GMAB,0.981,0.73
244,46,9,50000.0,40318.89,VA_GMWB,0.853,1.24
245,67,10,84200.33,87297.31,VA_GMAB,0.969,0.965
246,52,8,83466.16,82469.51,VA_GMAB,0.287,1.012
247,68,5,57747.91,62205.82,VA_GMWB,0.563,0.928
248,65,1,200031.89,192128.81,VA_GMAB,0.889,1.041
249,62,10,92492.46,104535.94,VA_GMWB,0.551,0.885
250,73,4,50000.0,40000.0,VA_GMAB,0.403,1.25
251,61,14,88872.4,84971.56,VA_GMWB,0.652,1.046
252,56,4,50000.0,56228.28,VA_GMAB,0.244,0.889
253,46,7,91742.0,101786.1,VA_GMAB,0.237,0.901
254,61,4,52105.01,55502.39,VA_GMWB,0.678,0.939
255,71,3,112059.48,109196.45,VA_GMWB,0.327,1.026
256,60,6,50000.0,57302.61,FIA_CAPPED,0.374,0.873
257,60,11,50000.0,40000.0,VA_GMAB,0.371,1.25
258,55,12,50000.0,53104.6,VA_GMWB,0.795,0.942
259,73,13,50000.0,56106.28,VA_GMAB,0.326,0.891
260,63,4,50000.0,58392.42,FIA_CAPPED,0.908,0.856
261,47,10,50000.0,58105.65,VA_GMAB,0.483,0.861
262,62,8,50000.0,67799.55,FIA_CAPPED,0.639,0.737
263,57,1,79056.92,63245.54,VA_GMAB,0.244,1.25
264,50,8,58027.21,63275.45,VA_GMAB,0.404,0.917
265,71,6,50000.0,62622.99,VA_GMAB,0.749,0.798
266,47,8,53966.26,66324.71,FIA_UNCAPPED,0.493,0.814
267,60,8,51210.3,48240.53,VA_GMAB,0.449,1.062
268,56,9,78566.48,73154.21,FIA_UNCAPPED,0.82,1.074
269,45,9,90261.65,98402.24,VA_GMWB,0.286,0.917
270,54,12,192952.95,196553.49,VA_GMWB,0.94,0.982
271,49,1,72423.31,74628.45,VA_GMAB,0.544,0.97
272,60,8,170853.7,136682.96,VA_GMAB,0.597,1.25
273,70,5,50000.0,45508.05,VA_GMWB,0.68,1.099
274,51,2,54057.95,56632.17,VA_GMAB,0.364,0.955
275,51,10,73642.1,72613.31,FIA_UNCAPPED,0.349,1.014
276,74,12,66783.89,66165.7,VA_GMWB,0.878,1.009
277,55,9,50000.0,53712.4,FIA_UNCAPPED,0.832,0.931
278,54,11,92096.0,102677.96,VA_GMWB,0.727,0.897
279,51,12,50000.0,46052.75,FIA_UNCAPPED,0.524,1.086
280,63,7,50000.0,55350.68,FIA_UNCAPPED,0.737,0.903
281,65,7,156354.78,166006.29,VA_GMAB,0.688,0.942
282,57,6,50000.0,44888.2,VA_GMWB,0.983,1.114
283,58,8,50000.0,62264.56,FIA_UNCAPPED,0.642,0.803
284,46,8,59496.17,51930.82,VA_GMAB,0.274,1.146
285,73,6,50000.0,46194.27,FIA_UNCAPPED,0.255,1.082
286,70,2,82927.08,91686.61,VA_GMAB,0.811,0.904
287,50,8,89631.69,118554.34,VA_GMWB,0.741,0.756
288,56,7,218016.36,222487.05,FIA_CAPPED,0.241,0.98
289,59,6,50000.0,43886.67,FIA_CAPPED,0.258,1.139
290,55,1,62848.72,64158.51,VA_GMAB,0.828,0.98
291,61,4,50614.82,48432.23,VA_GMWB,0.571,1.045
292,45,5,86565.57,107133.98,VA_GMAB,0.77,0.808
293,65,11,54694.13,55973.37,FIA_UNCAPPED,0.375,0.977
294,61,8,110740.65,121714.61,VA_GMWB,0.329,0.91
295,47,4,147371.12,125389.69,VA_GMAB,0.329,1.175
296,73,11,50000.0,51293.05,VA_GMAB,0.7,0.975
297,46,3,74236.73,84484.37,VA_GMAB,0.676,0.879
298,73,4,87916.68,107972.19,FIA_CAPPED,0.941,0.814
299,45,10,50000.0,44362.7,FIA_UNCAPPED,0.861,1.127
300,51,7,84433.54,100079.24,VA_GMAB,0.351,0.844
301,69,1,133374.89,145673.61,FIA_UNCAPPED,0.964,0.916
302,65,12,113950.26,118530.94,FIA_CAPPED,0.782,0.961
303,58,1,79293.99,83358.36,FIA_UNCAPPED,0.452,0.951
304,69,1,92605.88,79155.87,FIA_UNCAPPED,0.908,1.17
305,47,8,50000.0,50240.72,VA_GMWB,0.286,0.995
306,61,13,50000.0,45952.76,VA_GMWB,0.537,1.088
307,58,7,99905.84,99448.19,VA_GMAB,0.536,1.005
308,65,12,74746.16,67651.25,FIA_UNCAPPED,0.917,1.105
309,65,14,103409.45,110909.16,VA_GMWB,0.453,0.932
310,48,3,51156.16,59991.54,FIA_UNCAPPED,0.979,0.853
311,60,7,135826.41,145872.45,FIA_CAPPED,0.878,0.931
312,54,13,50000.0,40000.0,FIA_UNCAPPED,0.446,1.25
313,69,5,50000.0,40000.0,FIA_UNCAPPED,0.628,1.25
314,65,14,222687.97,180811.94,VA_GMWB,0.667,1.232
315,49,8,50000.0,53346.61,VA_GMWB,0.208,0.937
316,59,10,50000.0,46718.1,VA_GMWB,0.232,1.07
317,61,4,50000.0,66723.81,FIA_CAPPED,0.45,0.749
318,66,1,50000.0,43400.41,VA_GMWB,0.483,1.152
319,73,4,80297.46,96122.07,FIA_UNCAPPED,0.942,0.835
320,58,9,60710.32,81793.82,VA_GMAB,0.949,0.742
321,53,11,66184.27,85011.46,FIA_CAPPED,0.397,0.779
322,54,4,50000.0,51760.12,FIA_CAPPED,0.615,0.966
323,57,8,72973.45,71744.09,FIA_UNCAPPED,0.453,1.017
324,64,11,50000.0,40000.0,FIA_UNCAPPED,0.735,1.25
325,57,2,50000.0,54044.26,VA_GMWB,0.918,0.925
326,50,11,55004.8,66096.51,VA_GMAB,0.606,0.832
327,58,8,50000.0,66060.93,VA_GMAB,0.244,0.757
328,46,4,139463.65,158350.92,VA_GMWB,0.273,0.881
329,50,14,58537.74,48585.42,VA_GMWB,0.985,1.205
330,54,6,50000.0,47470.52,FIA_CAPPED,0.48,1.053
331,64,5,109085.88,110938.28,FIA_UNCAPPED,0.49,0.983
332,74,2,70456.56,76667.49,FIA_CAPPED,0.886,0.919
333,55,12,61879.69,55236.39,FIA_CAPPED,0.606,1.12
334,61,6,50000.0,59259.0,FIA_CAPPED,0.67,0.844
335,71,2,90934.35,125322.44,FIA_UNCAPPED,0.621,0.726
336,72,7,50000.0,63830.36,VA_GMWB,0.443,0.783
337,73,3,50000.0,58762.84,FIA_UNCAPPED,0.737,0.851
338,53,2,97857.18,117599.19,VA_GMAB,0.299,0.832
339,53,14,66508.12,77144.77,FIA_UNCAPPED,0.884,0.862
340,58,13,107182.38,102375.16,VA_GMAB,0.772,1.047
341,51,10,52233.44,78350.16,FIA_CAPPED,0.541,0.667
342,51,7,72172.52,76668.98,FIA_UNCAPPED,0.276,0.941
343,72,6,125830.1,129042.25,VA_GMWB,0.724,0.975
344,68,12,68695.72,81049.17,VA_GMAB,0.716,0.848
345,59,2,50000.0,61750.76,VA_GMWB,0.881,0.81
346,53,12,104954.44,135608.09,FIA_UNCAPPED,0.762,0.774
347,52,12,142594.97,126142.85,FIA_CAPPED,0.516,1.13
348,45,12,63780.53,60166.71,VA_GMWB,0.744,1.06
349,56,7,63749.1,63464.63,FIA_CAPPED,0.826,1.004
350,66,12,50000.0,56463.79,VA_GMWB,0.677,0.886
351,58,4,99037.47,109422.57,VA_GMAB,0.884,0.905
352,56,5,50000.0,72901.78,FIA_CAPPED,0.267,0.686
353,74,5,50000.0,56549.4,VA_GMAB,0.287,0.884
354,51,10,70206.55,74480.26,VA_GMAB,0.885,0.943
355,72,9,81689.13,97744.59,VA_GMAB,0.914,0.836
356,57,5,50000.0,61465.79,VA_GMAB,0.354,0.813
357,55,12,62021.56,77363.49,VA_GMWB,0.934,0.802
358,58,3,50000.0,49725.13,FIA_CAPPED,0.55,1.006
359,63,11,103557.35,94370.73,VA_GMAB,0.213,1.097
360,50,2,50000.0,53609.87,FIA_UNCAPPED,0.239,0.933
361,58,14,127951.65,132226.07,VA_GMAB,0.743,0.968
362,68,3,50000.0,59700.28,VA_GMAB,0.736,0.838
363,48,9,53156.8,47238.95,VA_GMAB,0.441,1.125
364,62,2,59043.19,55399.78,VA_GMAB,0.425,1.066
365,53,5,52196.34,60787.55,VA_GMAB,0.905,0.859
366,61,12,91870.33,92299.53,VA_GMAB,0.973,0.995
367,53,11,50000.0,49809.8,VA_GMAB,0.863,1.004
368,61,13,64160.0,70523.43,FIA_CAPPED,0.39,0.91
369,58,8,63574.65,76593.51,VA_GMWB,0.655,0.83
370,67,8,62526.06,66685.28,FIA_UNCAPPED,0.451,0.938
371,63,1,58266.7,56533.09,VA_GMAB,0.415,1.031
372,48,13,50000.0,53905.33,VA_GMWB,0.475,0.928
373,54,3,65615.95,58509.07,FIA_UNCAPPED,0.97,1.121
374,65,9,73067.73,58454.18,FIA_CAPPED,0.655,1.25
375,55,3,50000.0,44998.42,FIA_CAPPED,0.874,1.111
376,74,10,77792.05,79157.05,FIA_CAPPED,0.572,0.983
377,64,3,50000.0,59010.46,VA_GMAB,0.727,0.847
378,63,6,215894.66,277909.22,VA_GMWB,0.39,0.777
379,66,7,63854.04,79646.89,VA_GMAB,0.7,0.802
380,73,14,50000.0,52218.25,FIA_CAPPED,0.959,0.958
381,66,12,91712.55,92275.85,VA_GMWB,0.787,0.994
382,53,13,50000.0,47641.93,VA_GMWB,0.327,1.049
383,58,10,84725.35,76849.58,FIA_CAPPED,0.424,1.102
384,48,12,106253.57,128898.05,VA_GMWB,0.474,0.824
385,71,9,91107.18,82576.97,VA_GMWB,0.622,1.103
386,47,10,50000.0,48472.2,FIA_UNCAPPED,0.656,1.032
387,50,10,100139.37,107027.12,FIA_UNCAPPED,0.816,0.936
388,63,2,120715.64,148354.63,FIA_UNCAPPED,0.254,0.814
389,56,11,72306.24,70803.57,VA_GMAB,0.426,1.021
390,55,5,50000.0,56078.28,VA_GMWB,0.323,0.892
391,74,6,61776.88,55299.63,VA_GMWB,0.728,1.117
392,52,3,50000.0,40000.0,FIA_CAPPED,0.886,1.25
393,50,3,51504.68,53728.12,VA_GMAB,0.259,0.959
394,70,10,50000.0,59443.0,VA_GMWB,0.918,0.841
395,59,5,50000.0,51733.1,FIA_CAPPED,0.418,0.966
396,48,7,50000.0,54367.91,FIA_UNCAPPED,0.593,0.92
397,46,4,50000.0,48186.91,FIA_UNCAPPED,0.452,1.038
398,49,13,95587.05,104098.26,VA_GMWB,0.991,0.918
399,61,7,50000.0,52011.96,VA_GMWB,0.666,0.961
400,45,10,86238.97,88723.53,VA_GMAB,0.699,0.972
401,73,10,71203.37,65246.66,VA_GMAB,0.496,1.091
402,57,3,108175.22,103435.06,VA_GMAB,0.562,1.046
403,47,1,56799.8,64383.24,FIA_CAPPED,0.312,0.882
404,54,6,126579.76,110518.64,VA_GMAB,0.587,1.145
405,72,12,98228.63,116226.5,FIA_CAPPED,0.405,0.845
406,65,8,66956.47,90711.74,FIA_UNCAPPED,0.456,0.738
407,66,11,57737.0,66541.17,VA_GMAB,0.333,0.868
408,45,4,93110.5,107184.31,FIA_UNCAPPED,0.336,0.869
409,48,4,85366.11,83286.5,VA_GMWB,0.784,1.025
410,69,8,50000.0,67301.45,FIA_CAPPED,0.571,0.743
411,61,8,71580.88,73873.76,VA_GMAB,0.789,0.969
412,74,7,70020.76,63879.71,FIA_CAPPED,0.874,1.096
413,48,14,50000.0,57837.84,FIA_UNCAPPED,0.353,0.864
414,63,9,92699.88,89164.89,FIA_CAPPED,0.694,1.04
415,74,1,75686.48,72011.42,FIA_CAPPED,0.645,1.051
416,62,2,169610.02,170600.73,VA_GMAB,0.436,0.994
417,52,7,50000.0,46052.15,VA_GMAB,0.547,1.086
418,72,5,57026.58,52437.69,VA_GMAB,0.449,1.088
